Nodi,Degree Centrality,Betweenness Centrality,Closeness Centrality,Page Rank,HITS Hubs,HITS Authorities
Philippe Cudre-Mauroux,0.013157894736842105,0.0,0.36893203883495146,0.00565175145520941,0.006552233187016773,0.0065522331870167694
Djellel Difallah,0.013157894736842105,0.0,0.36893203883495146,0.00565175145520941,0.006552233187016773,0.006552233187016774
Ujwal Gadiraju,0.02631578947368421,0.0,0.39790575916230364,0.0092354061700227,0.012925440785043651,0.01292544078504365
Tereza Iofciu,0.013157894736842105,0.0,0.36893203883495146,0.00565175145520941,0.006552233187016773,0.0065522331870167755
Michele Catasta,0.013157894736842105,0.0,0.36893203883495146,0.00565175145520941,0.006552233187016773,0.006552233187016771
Wolfgang Nejdl,0.013157894736842105,0.0,0.36893203883495146,0.00565175145520941,0.006552233187016773,0.006552233187016766
Shazia Sadiq,0.013157894736842105,0.0,0.36893203883495146,0.00565175145520941,0.006552233187016773,0.006552233187016766
Lei Han,0.02631578947368421,0.0,0.39790575916230364,0.0092354061700227,0.012925440785043651,0.012925440785043648
Peter A Bath,0.013157894736842105,0.0,0.36893203883495146,0.00565175145520941,0.006552233187016773,0.006552233187016774
"Dr. Wasim Ahmed, PhD",0.013157894736842105,0.0,0.36893203883495146,0.00565175145520941,0.006552233187016773,0.006552233187016769
Karl Aberer,0.013157894736842105,0.0,0.36893203883495146,0.00565175145520941,0.006552233187016773,0.0065522331870167625
Alberto Tonon,0.013157894736842105,0.0,0.36893203883495146,0.00565175145520941,0.006552233187016773,0.006552233187016765
Laura Sbaffi,0.013157894736842105,0.0,0.36893203883495146,0.00565175145520941,0.006552233187016773,0.0065522331870167694
Claudiu S. Firan,0.013157894736842105,0.0,0.36893203883495146,0.00565175145520941,0.006552233187016773,0.006552233187016771
Elena Simperl,0.013157894736842105,0.0,0.3438914027149321,0.005531706662865238,0.0063732075980268785,0.006373207598026884
Andrew Turpin,0.013157894736842105,0.0,0.3438914027149321,0.005531706662865238,0.0063732075980268785,0.0063732075980268785
Cristina Sarasua,0.013157894736842105,0.0,0.3438914027149321,0.005531706662865238,0.0063732075980268785,0.006373207598026879
Luis-Daniel Ibáñez,0.013157894736842105,0.0,0.3438914027149321,0.005531706662865238,0.0063732075980268785,0.006373207598026879
Marco Basaldella,0.013157894736842105,0.0,0.3438914027149321,0.005531706662865238,0.0063732075980268785,0.006373207598026879
Mattia Zeni,0.013157894736842105,0.0,0.3438914027149321,0.005531706662865238,0.0063732075980268785,0.006373207598026875
Dante Degl'Innocenti,0.013157894736842105,0.0,0.3438914027149321,0.005531706662865238,0.0063732075980268785,0.006373207598026879
Pavlos Vougiouklis,0.013157894736842105,0.0,0.3438914027149321,0.005531706662865238,0.0063732075980268785,0.006373207598026879
Jonathon Hare,0.013157894736842105,0.0,0.3438914027149321,0.005531706662865238,0.0063732075980268785,0.0063732075980268785
Carlo Alberto Beltrami,0.013157894736842105,0.0,0.3438914027149321,0.005531706662865238,0.0063732075980268785,0.006373207598026882
Richard Gomer,0.013157894736842105,0.0,0.3438914027149321,0.005531706662865238,0.0063732075980268785,0.006373207598026882
