Nodi del grafo,Degree Centrality,Betweenness Centrality,Closeness Centrality,Page Rank,HITS Hubs,HITS Authorities
Maarten de Rijke,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.00582028662550378,0.005820286625503787
Arkaitz Zubiaga,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.00582028662550378,0.005820286625503789
Hideo Joho,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.00582028662550378,0.005820286625503787
Edgar Meij,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.00582028662550378,0.005820286625503789
Flora Salim,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.00582028662550378,0.005820286625503789
W. Bruce Croft,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.00582028662550378,0.005820286625503792
Víctor Fresno,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.00582028662550378,0.0058202866255037955
Raquel Martinez,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.00582028662550378,0.005820286625503789
Yongli Ren,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.00582028662550378,0.005820286625503787
Ryen W. White,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.00582028662550378,0.005820286625503781
Philippe Cudre-Mauroux,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.00655639627776133,0.006556396277761331
Djellel Difallah,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.00655639627776133,0.006556396277761338
Ujwal Gadiraju,0.02631578947368421,0.0,0.39790575916230364,0.009180381173494748,0.013040514107229324,0.01304051410722932
Tereza Iofciu,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.00655639627776133,0.006556396277761326
Michele Catasta,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.00655639627776133,0.006556396277761323
Wolfgang Nejdl,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.00655639627776133,0.006556396277761336
Lei Han,0.02631578947368421,0.0,0.39790575916230364,0.009180381173494748,0.013040514107229324,0.01304051410722932
Shazia Sadiq,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.00655639627776133,0.006556396277761327
Peter A Bath,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.00655639627776133,0.006556396277761318
"Dr. Wasim Ahmed, PhD",0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.00655639627776133,0.006556396277761326
Karl Aberer,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.00655639627776133,0.006556396277761327
Alberto Tonon,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.00655639627776133,0.006556396277761322
Laura Sbaffi,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.00655639627776133,0.006556396277761327
Claudiu S. Firan,0.013157894736842105,0.0,0.36893203883495146,0.005649709060115351,0.00655639627776133,0.006556396277761327
Elena Simperl,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467993,0.0064841178294680075
Cristina Sarasua,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467993,0.006484117829468002
Luis-Daniel Ibáñez,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467993,0.006484117829467995
Marco Basaldella,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467993,0.006484117829467996
Mattia Zeni,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467993,0.006484117829467999
Dante Degl'Innocenti,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467993,0.006484117829468
Pavlos Vougiouklis,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467993,0.006484117829467996
Jonathon Hare,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467993,0.006484117829468008
Carlo Alberto Beltrami,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467993,0.006484117829467996
Richard Gomer,0.013157894736842105,0.0,0.3438914027149321,0.005478724061431346,0.006484117829467993,0.006484117829468006
